ticket,opening_time_utc,closing_time_utc,type,lots,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd
121800354,2022-09-02T10:29:02.478000,2022-09-02T14:47:38.317000,sell,0.11,EURUSDm,1.0002,1.00177,0,0,0,0,-17.27
122264896,2022-09-02T14:18:29.157000,2022-09-02T14:47:34.151000,buy,0.11,USDCADm,1.31087,1.30756,0,0,0,0,-27.85
122276561,2022-09-02T14:26:44.894000,2022-09-02T14:47:27.263000,sell,0.11,AUDUSDm,0.68391,0.68532,0,0,0,0,-15.51
121955668,2022-09-02T12:35:44.044000,2022-09-02T14:47:23.939000,sell,0.11,AUDUSDm,0.68238,0.68528,0,0,0,0,-31.9
121315945,2022-09-01T23:21:02.705000,2022-09-02T14:47:20.567000,sell,0.11,AUDUSDm,0.67881,0.68524,0,0,0,0,-70.73
121879759,2022-09-02T12:29:32.953000,2022-09-02T14:15:37.806000,buy,0.11,USDCADm,1.3148,1.31,0,0,0,0,-40.31
121481095,2022-09-02T03:53:38.263000,2022-09-02T14:15:37.765000,buy,0.11,USDCADm,1.31565,1.31,0,0,0,0,-47.44
121676086,2022-09-02T08:08:57.020000,2022-09-02T12:33:44.307000,sell,0.11,EURUSDm,0.99846,1.003,0,0,0,0,-49.94
121563214,2022-09-02T06:15:25.697000,2022-09-02T10:06:01.561000,sell,0.11,EURUSDm,0.9967,1.00168,0,0,0,0,-54.78
121559725,2022-09-02T06:10:49.437000,2022-09-02T07:42:45.422000,sell,0.11,AUDUSDm,0.67873,0.67983,0,0,0,0,-12.1
120334884,2022-09-01T07:59:50.017000,2022-09-01T11:41:16.634000,sell,0.13,AUDUSDm,0.68346,0.6827,0,0,0,0,9.88
120333402,2022-09-01T07:58:01.319000,2022-09-01T11:24:34.364000,sell,0.11,GBPUSDm,1.16084,1.157,0,0,0,0,42.24
119540077,2022-08-31T14:56:30.572000,2022-09-01T07:17:51.360000,sell,0.13,EURUSDm,1.00564,1.00275,0,0,0,0,37.57
119587444,2022-08-31T15:28:31.476000,2022-09-01T07:17:38.411000,sell,0.13,EURUSDm,1.00644,1.0027,0,0,0,0,48.62
119550582,2022-08-31T15:03:19.361000,2022-09-01T00:44:08.499000,buy,0.17,USDCADm,1.30988,1.31642,0,0,0,0,84.46
119589079,2022-08-31T15:29:54.456000,2022-09-01T00:44:08.499000,buy,0.17,USDCADm,1.30765,1.31642,0,0,0,0,113.25
119364954,2022-08-31T13:17:02.692000,2022-09-01T00:38:45.971000,sell,0.18,AUDUSDm,0.68592,0.68162,0,0,0,0,77.4
119360671,2022-08-31T13:14:06.686000,2022-08-31T14:44:22.445000,sell,0.13,EURUSDm,1.00137,1.005,0,0,0,0,-47.19
119249767,2022-08-31T12:03:33.928000,2022-08-31T14:44:22.431000,sell,0.13,EURUSDm,1.00014,1.005,0,0,0,0,-63.18
119493014,2022-08-31T14:29:50.658000,2022-08-31T14:41:19.257000,sell,0.06,EURUSDm,1.00279,1.0045,0,0,0,0,-10.26
119253538,2022-08-31T12:07:16.629000,2022-08-31T14:35:59.512000,buy,0.16,USDCADm,1.31105,1.31175,0,0,0,0,8.54
118852504,2022-08-31T07:46:22.554000,2022-08-31T09:15:35.331000,buy,0.14,GBPUSDm,1.16574,1.16378,0,0,0,0,-27.44
118854817,2022-08-31T07:13:52.124000,2022-08-31T09:15:31.835000,buy,0.07,GBPUSDm,1.16653,1.16372,0,0,0,0,-19.67
119019334,2022-08-31T08:50:07.687000,2022-08-31T09:14:39.025000,buy,0.16,EURUSDm,0.99903,0.99839,0,0,0,0,-10.24
118846031,2022-08-31T07:07:57.999000,2022-08-31T08:47:34.423000,buy,0.24,EURUSDm,1.00138,0.99859,0,0,0,0,-66.96
118918710,2022-08-31T07:49:46.809000,2022-08-31T08:47:30.038000,buy,0.12,EURUSDm,1.00027,0.99859,0,0,0,0,-20.16
118605489,2022-08-31T00:33:13.929000,2022-08-31T07:06:45.332000,buy,0.15,AUDUSDm,0.68601,0.68911,0,0,0,0,46.5
118785511,2022-08-31T06:05:16.681000,2022-08-31T07:06:42.026000,buy,0.14,GBPUSDm,1.16804,1.16696,0,0,0,0,-15.12
118008518,2022-08-30T13:38:28.716000,2022-08-30T15:09:06.991000,sell,0.19,EURUSDm,1.00288,1.001,0,0,0,0,35.72
117903390,2022-08-30T12:57:56.823000,2022-08-30T14:47:29.338000,buy,0.12,USDCADm,1.3017,1.31035,0,0,0,0,79.22
115051789,2022-08-29T15:04:30.629000,2022-08-30T11:51:07.748000,buy,0.17,AUDUSDm,0.68947,0.69305,0,0,0,0,60.86
117154230,2022-08-30T06:52:04.214000,2022-08-30T11:46:38.906000,buy,0.13,EURUSDm,0.99953,1.002,0,0,0,0,32.11
116421077,2022-08-30T02:12:47.907000,2022-08-30T09:51:43.064000,buy,0.11,GBPUSDm,1.1695,1.173,0,0,0,0,38.5
116733022,2022-08-30T03:17:18.339000,2022-08-30T03:17:54.468000,buy,0.13,USDCADm,1.30224,1.30204,0,0,0,0,-2
115048946,2022-08-29T15:02:54.799000,2022-08-30T03:16:52.817000,sell,0.12,USDCADm,1.30203,1.30233,0,0,0,0,-2.76
113803354,2022-08-29T06:40:33.307000,2022-08-29T14:46:49.652000,buy,0.07,GBPUSDm,1.16756,1.17075,0,0,0,0,22.33
113486277,2022-08-29T01:45:47.822000,2022-08-29T14:43:33.926000,buy,0.17,AUDUSDm,0.68572,0.69,0,0,0,0,72.76
